osm_id,longitude,latitude
node/4101543802,77.6399488,12.9800085
node/4101543803,77.639056,12.9799858
node/4101543804,77.6397803,12.980016
node/4101543808,77.6395574,12.9800164
node/4101548830,77.6431367,12.9791216
node/4101548832,77.6419746,12.9791235
node/4101548833,77.6409589,12.979125
node/4101548834,77.6421995,12.9791535
node/4101548835,77.6412677,12.9791635
node/4101548836,77.6420985,12.9791677
node/4101548837,77.6423783,12.979174
node/4101548838,77.6428976,12.9791753
node/4101548840,77.6425772,12.9791816
node/4101548841,77.6415233,12.9791617
node/4101548842,77.6427629,12.9791986
node/4101548843,77.6409374,12.9793427
node/4101548844,77.640915,12.9796008
node/4101548846,77.6405783,12.9799756
node/4101548848,77.6406994,12.9799793
node/4101548849,77.640223,12.979995
node/4101558250,77.6381439,12.9799461
node/4101558255,77.6386076,12.979993
node/4101558257,77.6376148,12.9800492
node/4101558258,77.6373282,12.9800822
node/4101558260,77.6375102,12.9801132
node/4101563620,77.6371668,12.980092
node/4101563622,77.6370431,12.9801148
node/4101563623,77.6368255,12.9801786
node/4101566691,77.6366142,12.9805255
node/4101566693,77.6366789,12.9807114
node/4101566695,77.6366839,12.9808187
node/4101566697,77.636721,12.9809262
node/4197719563,77.5962461,12.9189359
node/4198168160,77.6433056,12.9756578
node/4315586584,77.6429747,12.970242
node/4315595301,77.6443156,12.970291
node/4315639142,77.6360499,12.9698557
node/4315639146,77.6365138,12.9698759
node/4315639148,77.6369892,12.9698966
node/4315639153,77.6374434,12.9699307
node/4315639165,77.6387373,12.9699819
node/4315639176,77.6394551,12.9700568
node/4315639177,77.6394607,12.970072
node/4315639868,77.635942,12.9722901
node/4315639869,77.6359859,12.9726175
node/4315639870,77.6359336,12.9728217
node/4315639872,77.6354233,12.9730582
node/4315639873,77.6356003,12.9730844
node/4315639874,77.6358317,12.9731066
node/4315678627,77.6422687,12.9703221
node/4315678630,77.6439438,12.9703415
node/4315678636,77.6462223,12.9703521
node/4315678637,77.6449967,12.9703685
node/4315678638,77.6468721,12.9704181
node/4322811188,77.6433811,12.9702544
node/4322812545,77.6418669,12.9701767
node/4322812551,77.6414926,12.9701873
node/4322812558,77.6424738,12.970194
node/4322812561,77.6426071,12.9701951
node/4322812562,77.6422951,12.9701972
node/4322813089,77.6433225,12.9702564
node/4322814172,77.6436755,12.9702832
node/4322814177,77.6446458,12.9702851
node/4322814178,77.6440292,12.9702864
node/4322815619,77.6453534,12.9703261
node/4322815620,77.6450122,12.9703263
node/4322818767,77.6360439,12.9699291
node/4322818768,77.6361445,12.969935
node/4322818770,77.6363232,12.9699579
node/4322818773,77.6365411,12.9699699
node/4322818777,77.6368234,12.9699915
node/4322818780,77.637103,12.9700046
node/4322818783,77.6373169,12.9700157
node/4322818785,77.637614,12.970034
node/4322819489,77.6380109,12.9700693
node/4322819494,77.6383382,12.9701013
node/4322819497,77.6388592,12.9701163
node/4322819499,77.6391355,12.9701372
node/4374317675,77.6394247,12.9217531
node/4374317676,77.6390666,12.920927
node/4374317677,77.6389587,12.9204401
node/4374357045,77.6387803,12.9195502
node/4374357046,77.6387267,12.9185031
node/4374357047,77.6386945,12.917928
node/4374357048,77.6387964,12.9166934
node/4374357049,77.639125,12.9165646
node/4374357051,77.640134,12.917071
node/4374357052,77.6404639,12.9173612
node/4374357053,77.6408877,12.9177618
node/4374357054,77.6413517,12.9182245
node/4374357055,77.6417158,12.918601
node/4374357056,77.6420651,12.9190507
node/4374357057,77.6424279,12.9195082
node/4374357058,77.6427189,12.9199183
node/4374357059,77.6431058,12.9204091
node/4374357060,77.6434425,12.9208173
node/4374357061,77.6437828,12.9212352
node/4374357063,77.6445034,12.9220385
node/4926522373,77.5719443,12.9368963
node/5164735106,77.6462913,12.9811733
node/5164816191,77.6480778,12.9822369
node/5164816192,77.6480607,12.9820013
node/5164816193,77.6480677,12.9818252
node/5164816194,77.6481623,12.9816991
node/5164816195,77.6482501,12.9816808
node/5164816196,77.6483339,12.9815204
node/5164816197,77.6484218,12.9813799
node/5164816198,77.648455,12.9813152
node/5164816199,77.6483759,12.9812254
node/5164816200,77.6481948,12.9812247
node/5164816201,77.6480765,12.9813871
node/5164816202,77.6479688,12.9815165
node/5164845175,77.6485271,12.9822953
node/5164845176,77.6486233,12.9821872
node/5164845177,77.6486142,12.9822032
node/5164845178,77.6487789,12.9819487
node/5164845179,77.6487799,12.9819722
node/5164845180,77.6488684,12.9818249
