osm_id,crossing_type,signals,markings,crossing_island,tactile_paving,longitude,latitude
node/6095353667,uncontrolled,,no,,,77.7094316,12.9561817
node/6106249913,,,,,,77.5632185,12.9113144
node/6130218355,unmarked,,no,,,77.7015173,12.9729743
node/6144095953,,,,,,77.6855129,12.9188268
node/6341481037,,,,,,77.652046,12.8405229
node/6341481038,unmarked,,,,,77.6519071,12.840564
node/6342124093,unmarked,,no,,,77.7016515,12.9682077
node/6351617117,,,,,,77.6380919,12.9155004
node/6390283418,marked,,,,,77.6058793,12.9580705
node/6390283419,marked,,,,,77.6060812,12.9578673
node/6390283421,marked,,yes,,,77.6027885,12.9446644
node/6390283423,traffic_signals,,zebra,no,no,77.5999729,12.9130248
node/6393744353,unmarked,,no,,,77.601725,12.9757854
node/6421083998,,,,,,77.5985431,12.9663908
node/6421083999,,,,,,77.5986179,12.9664528
node/6421084000,,,,,,77.5987314,12.9665538
node/6421084001,,,,,,77.5994769,12.9672323
node/6421128489,marked,,,,,77.6041237,12.9704925
node/6421128490,marked,,,,,77.6043238,12.970589
node/6421128494,,,,,,77.6055083,12.9712815
node/6457537021,marked,,yes,,,77.69644,12.9417615
node/6457628261,marked,,yes,,,77.6960049,12.9414614
node/6457628264,marked,,yes,,,77.6962845,12.941856
node/6484944160,marked,,,,,77.5359883,12.9350774
node/6485062310,,no,no,no,,77.641166,12.9738618
node/6494970758,uncontrolled,,no,,,77.6683083,12.9218815
node/6508995404,unmarked,,,,,77.6993723,12.9998242
node/6508995405,unmarked,,,,,77.699382,12.9997735
node/6584009908,traffic_signals,,zebra,,,77.6046777,12.9708459
node/6584009909,traffic_signals,,zebra,,,77.6048529,12.9708001
node/6584009910,traffic_signals,,,,,77.6048987,12.9709466
node/6584009911,traffic_signals,,,,,77.6047732,12.9709852
node/6746625200,,,,,,77.6433945,12.9605696
node/6834406254,traffic_signals,,zebra,no,no,77.599499,12.9767041
node/6834406257,traffic_signals,,zebra,,,77.5994948,12.9766159
node/6834406260,traffic_signals,,zebra,,,77.5993603,12.9764466
node/6834406263,traffic_signals,,zebra,,,77.5991167,12.9764894
node/6834406264,traffic_signals,,zebra,,,77.5990331,12.9765605
node/6834406270,traffic_signals,,zebra,,,77.5993063,12.9768207
node/6834406271,traffic_signals,,zebra,,,77.5991642,12.9767765
node/6834406272,traffic_signals,,zebra,,,77.5989327,12.9766707
node/6874903961,,,,,,77.6913454,12.9299957
node/6884944404,,,,,,77.5556282,13.0130251
node/6906325803,,,,,,77.7154639,12.9574449
node/6906325805,,,,,,77.7158164,12.9583666
node/6906325808,,,,,,77.7162006,12.9600284
node/6906325809,,,,,,77.7163115,12.9604143
node/6906325811,,,,,,77.7169426,12.96274
node/6906325812,,no,,,,77.7175133,12.9632433
node/6906325826,traffic_signals,,no,no,,77.7115818,12.9724173
node/6906325831,,,,,,77.7088437,12.9801549
node/6906325834,,,,,,77.7105999,12.9750494
node/6906325836,traffic_signals,,no,no,no,77.711632,12.9722849
