osm_id,lit,highway,geometry_type,geometry
way/348599412,yes,,Polygon,"{""type"": ""Polygon"", ""coordinates"": [[[77.5498106, 13.0006928], [77.5497504, 13.0006809], [77.5497057, 13.000897], [77.5495152, 13.0008596], [77.5495596, 13.0006447], [77.5495038, 13.0006338], [77.5495742, 13.000216], [77.5494146, 13.0001928], [77.5494085, 13.0002325], [77.5492897, 13.0002152], [77.5493035, 13.0001247], [77.5495816, 13.0001651], [77.5496742, 12.9996971], [77.5494936, 12.9995309], [77.5495086, 12.9994545], [77.5495391, 12.9994615], [77.5495678, 12.9994656], [77.5495577, 12.9995174], [77.5495985, 12.9995488], [77.5496234, 12.9995184], [77.5496433, 12.999494], [77.5497188, 12.9995527], [77.5496976, 12.9995786], [77.5497606, 12.9996453], [77.5499344, 12.9996739], [77.5499224, 12.9997432], [77.5499817, 12.9997529], [77.5499473, 12.9999522], [77.5499931, 12.9999597], [77.5499785, 13.000044], [77.5500427, 13.0001058], [77.5502154, 13.0001354], [77.5501994, 13.0002215], [77.5500807, 13.0002005], [77.5500827, 13.000191], [77.5500838, 13.0001841], [77.5499944, 13.0001646], [77.5499624, 13.0001424], [77.5499218, 13.0003695], [77.5499455, 13.0003943], [77.5500707, 13.0004174], [77.5500512, 13.0005179], [77.5498919, 13.0004886], [77.5498983, 13.0004553], [77.5498555, 13.0004153], [77.5498106, 13.0006928]]]}"
way/348854341,yes,,Polygon,"{""type"": ""Polygon"", ""coordinates"": [[[77.6074656, 12.9752514], [77.6075365, 12.9755321], [77.6061521, 12.975867], [77.6061277, 12.9757783], [77.6061084, 12.9757024], [77.6060806, 12.9755902], [77.6067072, 12.9754359], [77.6068079, 12.9754113], [77.6074656, 12.9752514]]]}"
way/349836800,yes,,Polygon,"{""type"": ""Polygon"", ""coordinates"": [[[77.6441017, 12.9720799], [77.6439973, 12.9720749], [77.6440078, 12.9718672], [77.6441122, 12.9718721], [77.6441017, 12.9720799]]]}"
way/361108397,yes,,Polygon,"{""type"": ""Polygon"", ""coordinates"": [[[77.5731421, 12.9401811], [77.5732787, 12.9399478], [77.5733858, 12.9400074], [77.5732492, 12.9402407], [77.5731421, 12.9401811]]]}"
way/363472521,yes,,Polygon,"{""type"": ""Polygon"", ""coordinates"": [[[77.595035, 12.9754969], [77.5947459, 12.9757288], [77.5946245, 12.9755851], [77.5949136, 12.9753532], [77.595035, 12.9754969]]]}"
way/363612205,yes,platform,Polygon,"{""type"": ""Polygon"", ""coordinates"": [[[77.5915625, 13.0976802], [77.5915591, 13.0975895], [77.5915858, 13.0975885], [77.5915892, 13.0976793], [77.5915625, 13.0976802]]]}"
way/363612207,yes,platform,Polygon,"{""type"": ""Polygon"", ""coordinates"": [[[77.5917113, 13.097463], [77.5917379, 13.0974619], [77.5917435, 13.097556], [77.5917201, 13.0975571], [77.5917201, 13.0975376], [77.5917132, 13.0975371], [77.5917113, 13.097463]]]}"
way/367419482,no,,Polygon,"{""type"": ""Polygon"", ""coordinates"": [[[77.499707, 12.9393073], [77.5001251, 12.9387339], [77.5004248, 12.9388601], [77.5011203, 12.9392748], [77.5016605, 12.9396318], [77.5010167, 12.9404611], [77.5009427, 12.9404034], [77.5005025, 12.9401294], [77.5001658, 12.9398914], [77.4999586, 12.9396823], [77.4997625, 12.9394948], [77.499707, 12.9393073]]]}"
way/370301099,yes,,Polygon,"{""type"": ""Polygon"", ""coordinates"": [[[77.6176239, 12.9728943], [77.6176168, 12.9729209], [77.6176106, 12.9729439], [77.6174465, 12.9729818], [77.6174817, 12.9731267], [77.6172178, 12.9731875], [77.6171984, 12.9731075], [77.6163848, 12.973295], [77.6163668, 12.9732211], [77.6163389, 12.973106], [77.6163212, 12.9730332], [77.6173987, 12.9727848], [77.6174096, 12.9728296], [77.6175725, 12.972793], [77.6175959, 12.9728221], [77.6176094, 12.9728388], [77.6176239, 12.9728943]]]}"
way/370387411,yes,,Polygon,"{""type"": ""Polygon"", ""coordinates"": [[[77.6822214, 12.9139582], [77.6823686, 12.9139731], [77.6823378, 12.9142627], [77.6821906, 12.9142478], [77.6822214, 12.9139582]]]}"
